N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
136,농심,"363,000","하락
				5,500",-1.49%,"5,000","22,080","6,083",17.72,"22,391",14.24,7.26,
137,KCC,"245,000","하락
				6,000",-2.39%,"5,000","21,772","8,886",13.32,"26,084",4.70,4.13,
138,한화생명,"2,505","상승
				5",+0.20%,"5,000","21,757","868,530",10.35,"754,002",3.71,5.43,
139,아시아나항공,"10,380","상승
				50",+0.48%,"5,000","21,382","205,991",2.61,"123,087",8.74,16.61,
140,한올바이오파마,"40,600","하락
				450",-1.10%,500,"21,210","52,241",5.95,"284,224",-338.33,1.98,
141,TIGER MSCI Korea TR,"13,930","하락
				225",-1.59%,0,"21,048","151,100",0.00,"1,732",N/A,N/A,
142,산일전기,"68,900","상승
				1,100",+1.62%,500,"20,977","30,445",5.63,"810,589",7.82,47.00,
143,한화,"27,800","하락
				400",-1.42%,"5,000","20,839","74,959",12.32,"113,285",-43.03,3.52,
144,SK가스,"221,000","상승
				500",+0.23%,"5,000","20,399","9,230",7.26,"3,595",12.37,12.85,
145,TIGER 200,"33,225","하락
				455",-1.35%,0,"20,217","60,850",9.69,"1,950,560",N/A,N/A,
146,한미사이언스,"29,450","상승
				500",+1.73%,500,"20,141","68,392",1.89,"235,613",19.41,15.23,
147,TIGER 미국배당다우존스,"12,690","하락
				100",-0.78%,0,"20,120","158,550",0.01,"1,350,210",N/A,N/A,
148,에이피알,"52,300","상승
				200",+0.38%,100,"19,940","38,126",14.98,"254,001",22.16,54.88,
149,HL만도,"41,700","하락
				250",-0.60%,"1,000","19,581","46,957",24.75,"160,370",15.93,6.18,
150,제일기획,"17,010","하락
				190",-1.10%,200,"19,569","115,041",21.37,"240,116",10.49,14.99,
151,CJ대한통운,"84,300","하락
				500",-0.59%,"5,000","19,231","22,812",13.39,"42,294",8.34,6.27,
152,현대엘리베이,"49,100",보합0,0.00%,"5,000","19,194","39,092",27.10,"333,610",28.81,26.15,
153,녹십자,"163,900","하락
				2,100",-1.27%,"5,000","19,154","11,687",19.78,"45,187",-101.61,-2.03,
154,한전KPS,"42,300","상승
				250",+0.59%,200,"19,035","45,000",16.70,"133,055",10.40,13.08,
155,한화엔진,"22,750","상승
				350",+1.56%,"1,000","18,984","83,447",10.25,"1,363,505",50.22,-0.19,
156,아모레G,"22,800","상승
				150",+0.66%,500,"18,800","82,458",9.94,"96,863",7.91,3.57,
157,이마트,"66,200","상승
				1,400",+2.16%,"5,000","18,454","27,876",18.47,"466,674",-35.46,-0.79,
158,KODEX CD1년금리플러스액티브(합성),"1,022,965","상승
				80",+0.01%,0,"18,213","1,780",0.00,"13,092",N/A,N/A,
159,ACE 미국30년국채액티브(H),"7,610","하락
				50",-0.65%,0,"18,074","237,500",0.00,"2,596,309",N/A,N/A,
160,팬오션,"3,330","하락
				30",-0.89%,"1,000","17,801","534,570",13.98,"1,579,460",5.62,5.32,
161,BGF리테일,"102,800","상승
				700",+0.69%,"1,000","17,768","17,284",30.53,"47,101",9.33,19.23,
162,SK아이이테크놀로지,"24,800","하락
				200",-0.80%,"1,000","17,682","71,298",7.48,"77,221",-24.22,3.58,
163,영원무역,"39,800","하락
				250",-0.62%,500,"17,636","44,311",28.75,"57,494",4.18,17.03,
164,코스맥스,"154,900","상승
				7,500",+5.09%,500,"17,580","11,350",31.95,"176,706",22.35,12.11,
165,KODEX 미국나스닥100TR,"20,375","하락
				260",-1.26%,0,"17,563","86,200",0.05,"1,616,358",N/A,N/A,
166,코스모신소재,"53,900","하락
				2,000",-3.58%,"1,000","17,523","32,511",12.69,"189,044",67.12,7.41,
